Tabela B 465.0 m/s  Vertical
	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	
10600	-450	|-326	|-210	|-101	|0	|91	|
5700	-1413	|-1095	|-730	|-361	|0	|352	|691	|1019	|1335	|1640	|1930	|2209	|2475	|2727	|2966	|
5600		|-1108	|-745	|-370	|0	|360	|708	|1044	|1367	|1678	|1975	|2260	|2531	|2789	|3034	|
5500		|-1114	|-759	|-378	|0	|368	|726	|1069	|1399	|1717	|2023	|2313	|2590	|2853	|3103	|
5400		|-1108	|-770	|-386	|0	|378	|743	|1095	|1433	|1759	|2070	|2368	|2651	|2920	|3175	|
5300		|	|-780	|-395	|0	|385	|759	|1121	|1467	|1799	|2118	|2422	|2712	|2987	|3246	|
5200		|	|-781	|-401	|0	|395	|778	|1148	|1504	|1844	|2170	|2481	|2777	|3058	|3323	|
5100		|	|-776	|-407	|0	|405	|797	|1176	|1540	|1889	|2224	|2542	|2844	|3130	|3402	|
5000		|	|	|-411	|0	|413	|816	|1205	|1578	|1935	|2277	|2602	|2912	|3204	|3480	|
4900		|	|	|-412	|0	|422	|836	|1234	|1617	|1983	|2333	|2666	|2982	|3281	|3563	|
4800		|	|	|-408	|0	|431	|855	|1264	|1656	|2031	|2389	|2730	|3054	|3359	|3647	|
4700		|	|	|-396	|0	|439	|873	|1293	|1696	|2081	|2448	|2798	|3128	|3440	|3734	|
4600		|	|	|	|0	|445	|891	|1321	|1735	|2131	|2507	|2865	|3203	|3522	|3822	|
4500		|	|	|	|0	|449	|906	|1349	|1775	|2181	|2567	|2934	|3280	|3607	|3913	|
4400		|	|	|	|0	|448	|916	|1373	|1810	|2229	|2626	|3001	|3357	|3691	|4004	|
4300		|	|	|	|0	|437	|919	|1390	|1843	|2273	|2681	|3068	|3433	|3776	|4097	|
4200	
Limite de validade do Modelo.
FIM


