Tabela B 465.0 m/s  Mergulhante
	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	
6400	-46	|-35	|-23	|-11	|0	|15	|29	|44	|60	|77	|95	|113	|133	|153	|174	|
6500	-48	|-37	|-24	|-12	|0	|15	|30	|45	|61	|78	|97	|116	|136	|157	|179	|
6600	-50	|-38	|-26	|-13	|0	|14	|30	|46	|62	|80	|99	|118	|139	|160	|182	|
6700	-51	|-39	|-26	|-13	|0	|16	|31	|48	|65	|82	|102	|122	|143	|165	|188	|
6800	-52	|-40	|-27	|-13	|0	|16	|32	|49	|67	|85	|105	|125	|147	|169	|193	|
6900	-54	|-41	|-27	|-13	|0	|17	|33	|50	|68	|87	|108	|129	|151	|174	|198	|
7000	-56	|-43	|-29	|-14	|0	|16	|33	|51	|69	|89	|110	|131	|154	|177	|202	|
7100	-58	|-44	|-30	|-15	|0	|17	|34	|53	|71	|92	|113	|135	|158	|182	|208	|
7200	-59	|-45	|-30	|-15	|0	|18	|35	|54	|74	|95	|116	|139	|163	|188	|214	|
7300	-61	|-47	|-32	|-16	|0	|18	|36	|55	|75	|97	|119	|142	|167	|192	|219	|
7400	-63	|-49	|-33	|-17	|0	|18	|37	|57	|78	|100	|122	|146	|171	|198	|225	|
7500	-65	|-50	|-34	|-17	|0	|19	|38	|58	|79	|102	|126	|150	|176	|203	|231	|
7600	-67	|-51	|-35	|-18	|0	|19	|39	|60	|82	|105	|129	|155	|181	|209	|238	|
7700	-69	|-52	|-36	|-18	|0	|20	|41	|62	|84	|109	|134	|160	|187	|216	|245	|
7800	-71	|-54	|-36	|-18	|0	|21	|42	|64	|87	|112	|138	|165	|193	|222	|253	|
7900	-74	|-56	|-38	|-19	|0	|21	|43	|65	|89	|115	|141	|169	|198	|228	|260	|
8000	-76	|-58	|-39	|-20	|0	|21	|44	|67	|91	|118	|145	|174	|204	|235	|267	|
8100	-78	|-59	|-40	|-20	|0	|22	|46	|70	|95	|122	|150	|179	|210	|242	|276	|
8200	-81	|-61	|-42	|-21	|0	|23	|47	|71	|98	|126	|154	|185	|216	|249	|284	|
8300	-82	|-63	|-42	|-21	|0	|24	|49	|74	|102	|130	|160	|191	|224	|258	|294	|
8400	-86	|-65	|-45	|-22	|0	|24	|49	|76	|104	|133	|164	|196	|230	|265	|302	|
8500	-88	|-67	|-45	|-22	|0	|26	|52	|79	|108	|138	|170	|203	|238	|275	|313	|
8600	-91	|-70	|-47	|-24	|0	|26	|53	|80	|111	|142	|175	|209	|245	|283	|323	|
8700	-93	|-71	|-48	|-24	|0	|27	|55	|84	|115	|147	|181	|217	|254	|293	|335	|
8800	-97	|-74	|-50	|-25	|0	|28	|56	|86	|119	|152	|187	|224	|262	|303	|346	|
8900	-100	|-77	|-52	|-26	|0	|28	|58	|89	|122	|156	|193	|231	|271	|313	|358	|
9000	-103	|-79	|-53	|-26	|0	|30	|60	|93	|127	|163	|200	|240	|281	|325	|372	|
9100	-106	|-81	|-55	|-27	|0	|31	|62	|96	|131	|168	|207	|248	|291	|337	|386	|
9200	-110	|-85	|-57	|-29	|0	|31	|64	|99	|135	|173	|214	|256	|301	|349	|400	|
9300	-113	|-87	|-58	|-29	|0	|33	|67	|103	|141	|181	|222	|267	|314	|364	|418	|
9400	-118	|-91	|-61	|-31	|0	|33	|68	|106	|145	|186	|230	|277	|326	|379	|435	|
9500	-122	|-94	|-63	|-33	|0	|35	|70	|110	|150	|194	|239	|288	|340	|396	|457	|
9600	-126	|-97	|-66	|-34	|0	|36	|74	|114	|156	|201	|249	|300	|355	|414	|481	|
9700	-131	|-100	|-69	|-35	|0	|37	|77	|118	|163	|210	|260	|314	|372	|437	|508	|
